id,f0
1-C0,269.1650391
2-D0,301.4648438
3-D#0,322.9980469
4-E0,344.53125
5-F0,366.0644531
6-F#0,376.8310547
7-G0,409.1308594
8-G#0,419.8974609
9-A0,452.1972656
10-A#0,484.4970703
11-B0,506.0302734
12-c1,549.0966797
13-c#1,570.6298828
14-d1,602.9296875
15-d#1,645.9960938
16-e1,678.2958984
17-f1,732.1289063
18-f#1,764.4287109
19-g1,818.2617188
20-g#1,850.5615234
21-a1,915.1611328
22-a#1,979.7607422
23-b1,1022.827148
24-c2,1087.426758
25-c#2,1141.259766
26-d2,1216.625977
27-d#2,1302.758789
28-e2,1367.358398
29-f2,1464.257813
30-f#2,1518.09082
31-g2,1636.523438
32-g#2,1711.889648
33-a2,1819.555664
34-a#2,1948.754883
35-b2,2034.887695
36-c3,2174.853516
37-c#3,2282.519531
38-d3,2444.018555
39-d#3,2594.750977
40-e3,2713.183594
41-f3,2917.749023
42-f#3,3036.181641
43-g3,3251.513672
44-g#3,3391.479492
45-a3,3628.344727
46-a#3,3875.976563
47-b3,4059.008789
48-c4,4338.94043
49-c#4,4543.505859
50-d4,4866.503906
